Experiment,Text,Lexical Status,Transparency,Context,Output
Exp3,"The journey had been long and exhausting, but the travelers finally reached the outskirts of Pentos just before dusk. They set up camp near the main road, hoping to gather fresh supplies in the morning before continuing their journey eastward.",Existing,Opaque,Constructed by Gemini,"这段旅程漫长而疲惫，但旅行者们终于在黄昏前抵达了潘托斯城郊。他们在主路附近扎营，希望第二天早晨能补充些新鲜补给，然后继续向东前行。

地名“Pentos”采用音译为“潘托斯”，以保留其专有名词属性和奇幻世界中的独特感，同时避免意译造成的地理与文化信息偏移。"
Exp3,"Local merchants regularly gathered their goods into sturdy wagons to prepare for the seasonal trade route. Most of their handcrafted wares were destined for Braavos, where they expected to secure enough profit to last through the coming months.",Existing,Opaque,Constructed by Gemini,"当地商人们经常把货物装进结实的货车里，准备踏上季节性的贸易路线。他们大部分手工制品都打算运往布拉佛斯，在那里他们希望赚到足够的利润，撑过接下来的几个月。

地名“Braavos”采用音译为“布拉佛斯”，以保留专有名词的识别性和原有异域感，同时符合中文读者的阅读习惯。"
Exp3,"While reviewing the old records in the archives, the scholar stumbled upon several references to a treaty signed in Astapor. Although the document lacked specific dates, the signatures indicated it was a significant agreement concerning regional borders.",Existing,Opaque,Constructed by Gemini,"在查阅档案中的旧记录时，这位学者偶然发现了几处提及在阿斯塔波签署的一项条约。尽管该文件缺少具体日期，但签名表明这是一项涉及地区边界的重要协议。

地名“Astapor”采用音译为“阿斯塔波”，以尽量保留原名的读音和专有名词属性，同时避免误译为具有特定含义的中文词语。"
Exp3,Finding a secure place to rest was the primary concern for the weary group. They decided that spending a few quiet days at an inn located in Myr would allow everyone to recover their strength and repair their damaged equipment.,Existing,Opaque,Constructed by Gemini,"为这支疲惫的队伍寻找一个安全的休息之处是首要关切。他们决定，在米尔的一家旅店里安静地住上几天，能让每个人恢复体力，并修理受损的装备。

地名 “Myr” 采用音译为“米尔”，以保留专有名词的识别性和原文风格，同时避免意译造成地名含义不明确或失真。"
Exp3,"During the annual festival season, many families traveled great distances to visit their distant relatives. A significant number of the villagers packed their belongings and headed toward Qarth to reunite with loved ones they had not seen for years.",Existing,Opaque,Constructed by Gemini,"在一年一度的节庆时节，许多家庭长途跋涉去探望远方的亲戚。村民中有相当一部分人收拾好行装，前往渊凯与多年未见的亲人团聚。

地名“Qarth”采用了音译处理，译为“渊凯”，以保留专有名词的异域感和识别度，同时符合中文读者对虚构地名的阅读习惯。"
Exp3,"After deciding it was time to find a new place to settle, the families packed up their essential belongings. They gathered their remaining resources and began the quiet migration toward Asshai, hoping for better opportunities and a fresh start.",Existing,Opaque,Constructed by Gemini,"在决定是时候寻找新的安身之处后，这些家庭收拾起了他们最重要的随身物品。他们聚拢起剩余的资源，开始悄然迁往亚夏，希望能获得更好的机会，迎来一个新的开始。

地名“Asshai”采用音译为“亚夏”，以保留其专有名词属性和异域感，同时符合中文读者对虚构地名的自然接受方式。"
Exp3,"The courier secured the sealed letters tightly in the waterproof pouch attached to the saddle. The most urgent message was addressed to a contact currently residing in Norvos, requiring the rider to maintain a steady and relentless pace.",Existing,Opaque,Constructed by Gemini,"信使将密封的信件牢牢地装进了系在马鞍上的防水袋里。最紧急的那封信是寄给一位目前居住在诺佛斯的联络人的，因此要求骑手保持稳定而不懈的速度前进。

地名“Norvos”采用音译为“诺佛斯”，以保留专有名词的识别性和异域感，同时避免意译造成歧义。"
Exp3,"The surveyors carefully adjusted their instruments to record the new measurements along the boundary line. They marked the updated coordinates on the large parchment map, ensuring the exact distance to Yunkai was documented with absolute precision for future reference.",Existing,Opaque,Constructed by Gemini,"测量员们仔细调整仪器，以记录边界线上的新测量数据。他们在那张大羊皮地图上标注了更新后的坐标，确保到云开的准确距离以绝对精度被记录下来，供日后查考。

地名“Yunkai”采用音译加意译的方式处理为“云开”，既保留了原名的读音感，也使中文读者更容易自然接受；同时避免生硬直译造成歧义。"
Exp3,"The local militia received orders to expand their regular patrol routes further outward. A small detachment was assigned to monitor the main path leading to Meereen, checking the passing wagons and travelers to ensure safe passage along the thoroughfare.",Existing,Opaque,Constructed by Gemini,"当地民兵接到命令，将他们的常规巡逻路线进一步向外扩展。一支小分队被派去监视通往弥林的主要道路，检查过往的货车和旅人，以确保这条大道上的通行安全。

地名“Meereen”采用音译为“弥林”，这样既保留了专有名词的异域感，也符合中文读者对虚构地名的接受习惯；同时避免意译造成含义偏差。"
Exp3,"Knowing they could no longer remain safely in the area, the fugitives quietly slipped away under the cover of darkness. Their primary objective was to reach Volantis without attracting any unwanted attention or leaving a trail for anyone to follow.",Existing,Opaque,Constructed by Gemini,"意识到他们已无法继续安全地留在该地区，逃亡者们便在夜色掩护下悄然离去。他们的首要目标是抵达瓦兰提斯，同时不引起任何不必要的注意，也不留下可供他人追踪的踪迹。

地名“Volantis”采用音译为“瓦兰提斯”，以保留专有名词的识别性和异域感；同时它是虚构/专名地名，音译比意译更能准确对应原名并避免歧义。"
