Experiment,Text,Lexical Status,Transparency,Context,Output
Exp2,"Outside the city walls, they camped with their vast herds, raising palaces of woven grass, eating everything in sight, and making the good folk of Isplynia more anxious with every passing day.",Coined,Opaque,Original,"城外，他们带着庞大的牲群扎营，搭起了编织草茎的宫殿，见什么吃什么，随着日子一天天过去，让伊斯普利尼亚的善良百姓愈发焦虑不安。

地名“Isplynia”采用音译为“伊斯普利尼亚”，以尽量保留原名的专有性与异域感，同时符合中文读者对虚构地名的自然接受方式。"
Exp2,"She thought it must be ten times as large as Isplynia, a vastness without walls or limits, its broad windswept streets paved in grass and mud and carpeted with wildflowers.",Coined,Opaque,Original,"她心想，这里一定比伊斯普利尼亚大上十倍，是一片没有围墙也没有边界的辽阔之地；它宽阔而风吹日晒的街道铺着草和泥土，地面上还铺满了野花。

地名“Isplynia”采用音译为“伊斯普利尼亚”，以保留专有名词的异域感和原文的指称功能，同时避免擅自赋予额外含义；若后文有明确文化背景，也可再根据语境统一调整译法。"
Exp2,"There’s a moneylender from Tospyte, holding fancy papers and the like, requests to see the king about payment on some loan.",Coined,Opaque,Original,"有一位来自托斯派特的放贷人，拿着花哨的文件之类的东西，请求面见国王，商谈一笔贷款的还款事宜。

地名“Tospyte”采用音译为“托斯派特”，以尽量保留原名的读音和专有名词属性，同时避免误译成具有特定含义的中文词语。"
Exp2,"Once on a voyage to Tospyte, as she’d watched the crew wrestle down a great green sail in a rising gale, she had even thought how fine it would be to be a sailor.",Coined,Opaque,Original,"在一次前往托斯派特的航程中，她看着船员们在渐起的狂风里合力收拢一张巨大的绿色船帆时，甚至曾想过，做一名水手该是多么美妙。

地名“Tospyte”采用音译处理为“托斯派特”，以尽量保留原名的读音和专有名词属性，同时避免擅自赋予其中文含义。"
Exp2,"There’s nothing left in Rystosia but corpses, so they’re pouring out into the countryside, hundreds of them, maybe thousands, all starved and sick.",Coined,Opaque,Original,"“里斯托西亚”里除了尸体什么都不剩了，所以他们正成群涌向乡间，成百上千，可能有几千人，全都又饿又病。

地名“Rystosia”我译作“里斯托西亚”，采用音译为主的策略，尽量保留原名的读音和专有名词特征，同时让中文读者能自然读出。"
Exp2,"The city was built of yellow bricks instead of red; elsewise it was Rystosia all over again, with the same crumbling walls and high stepped pyramids, and a great harpy mounted above its gates.",Coined,Opaque,Original,"这座城市是用黄色砖块而不是红色砖块建成的；除此之外，它简直又是一次里斯托西亚的重现，依旧是那些坍塌的城墙和高耸的阶梯金字塔，以及一只巨大的鹰身女妖高悬在城门之上。

地名“Rystosia”我译作“里斯托西亚”，采用音译，以保留其作为虚构专名的异域感和识别性，同时避免意译造成含义偏移。"
Exp2,"Soon I was as good a thief as any in Kyremi, and when I was older I learned that often the contents of a man’s letters are more valuable than the contents of his purse.",Coined,Opaque,Original,"不久，我就成了基雷米城里数一数二的窃贼；等我长大些，我又明白了，很多时候，一个人信里的内容比他钱袋里的东西更有价值。

地名“Kyremi”采用音译为“基雷米”，以保留原有专名的异域感和识别性，同时符合中文读者的发音习惯；未意译，是为了避免削弱其作为虚构地名的专有属性。"
Exp2,"The best glass came from Kyremi, but a good clear pane was worth its weight in spice, and green and yellow glass would not work as well.",Coined,Opaque,Original,"最好的玻璃来自基雷米，但一块上好的透明玻璃片其价值堪比同等重量的香料，而绿色和黄色玻璃的效果就没那么好了。

地名“Kyremi”采用音译为“基雷米”，以保留专有名词的原有音感和识别性，同时避免误译为具有具体含义的中文词语。"
Exp2,"On the walls of Srikyme, men beat gongs to herald her coming, while others blew curious horns that encircled their bodies like great bronze snakes.",Coined,Opaque,Original,"在斯里凯姆的城墙上，人们敲击锣鼓来宣告她的到来，另一些人则吹响那种奇特的号角，这些号角像巨大的青铜蛇一样缠绕在他们的身上。

地名“ Srikyme ”我采用了音译“斯里凯姆”，以尽量保留原名的异域感和专有名词属性，同时让中文读者能够顺畅读出。"
Exp2,"It grieves me to say so, yet it might be best if you left Srikyme entirely, and sooner rather than later.",Coined,Opaque,Original,"“我很遗憾这么说，但你最好还是彻底离开斯里凯姆，而且越早越好。”

地名“Srikyme”我采用了音译“斯里凯姆”，以保留其专有名词属性和原有异域感，同时避免擅自赋予其中文含义；这种处理也更适合未有固定译名的虚构或不常见地名。"
Exp2,"Others whisper that she has no place in my war councils, that I ought to send her back to Piakilos, that it is sinful to keep her in my tent of a night.",Coined,Opaque,Original,"“还有人低声说，她不该出现在我的军事会议上，我应该把她送回皮亚基洛斯去，而且把她留在我的帐篷里过夜也是有悖于教义的。”

地名“Piakilos”采用音译为“皮亚基洛斯”，以尽量保留原名的专有性和异域感，同时避免误译其具体含义；在缺乏明确语义背景时，音译通常是最稳妥的处理方式。"
Exp2,"Ships from many lands come to Piakilos, so I lingered long to study the healing ways of distant peoples.",Coined,Opaque,Original,"来自许多国度的船只都驶向皮亚基洛斯，因此我久久停留，研究远方民族的疗愈之道。

地名“Piakilos”采用音译为“皮亚基洛斯”，保留其专有名词属性与异域感，同时避免误译为具有特定含义的普通词语。"
Exp2,"Once, long ago, a callow youth had come from Sedorox, a big broad-shouldered boy with a mop of dark hair.",Coined,Opaque,Original,"很久以前，有个青涩的少年从塞多罗克斯来到这里，那是个肩膀宽阔的大男孩，顶着一头浓密的黑发。

地名“ Sedorox ”我采用了音译“塞多罗克斯”，以保留其专有名词属性和异域感，同时尽量让中文读音自然顺口，便于读者识别为一个虚构或外来地名。"
Exp2,"They crossed the rolling hills of Sedorox, past terraced farms and small villages where the townsfolk watched anxiously from atop white stucco walls.",Coined,Opaque,Original,"他们穿过了塞多罗克斯起伏的丘陵，经过层层梯田和小村庄，镇民们焦虑地站在白色灰泥墙顶上注视着他们。

地名“ Sedorox ”采用了音译处理，译为“塞多罗克斯”，以保留其专有名词的独特性和异域感，同时避免意译造成含义偏移。"
Exp2,The envoys from Aelritos arrived as the sun was going down; fifty men on magnificent black horses and one on a great white camel.,Coined,Opaque,Original,"来自艾尔里托斯的使节在太阳西沉时抵达；五十名男子骑着威风凛凛的黑马，另有一人骑着一头巨大的白骆驼。

地名“Aelritos”采用音译处理为“艾尔里托斯”，以尽量保留原名的读音和专有名词特征，同时符合中文读者的发音习惯。"
Exp2,"By the end of the third day, I will be in Aelritos whether you open your gates for me or no.",Coined,Opaque,Original,"到第三天结束时，无论你们是否为我打开城门，我都会在艾尔里托斯。

地名“Aelritos”采用了音译处理，保留其专有名词属性与异域感，同时尽量贴近原词的发音结构，避免意译造成地名含义失真。"
Exp2,"By the time they came to Zaloko sitting on the salt coast beside her river, the count stood at one hundred and sixty-three.",Coined,Opaque,Original,"等他们来到扎洛科时，她正坐在盐海岸边的河畔，人数已达一百六十三人。

地名“Zaloko”采用音译为“扎洛科”，以保留专有名词的原有指称和异域感，同时符合中文读音习惯，避免意译造成地名含义不明或失真。"
Exp2,"She had a city to take, and dreaming of kisses and some sellsword’s bright blue eyes would not help her breach the walls of Zaloko.",Coined,Opaque,Original,"她还有一座城要攻取，沉溺于亲吻和某个雇佣兵那双明亮的蓝眼睛，并不会帮助她攻破扎洛科的城墙。

地名“Zaloko”我译作“扎洛科”，采用音译以保留专有名词的异域感与识别性；同时不额外意译，是为了避免改变其作为虚构地名的中性属性。"
Exp2,"They had abandoned their own fine armor in Kureavas, along with their gold and their true names.",Coined,Opaque,Original,"他们把自己精良的盔甲连同金子和真名一起遗弃在了库雷阿瓦斯。

地名“Kureavas”采用音译处理为“库雷阿瓦斯”，以保留其专有名词属性和异域感，同时避免擅自赋予中文语义；这样也更适合奇幻语境中的地名表达。"
Exp2,"By the time they reached Kureavas, the sky was purple to the west and black to the east, and the stars were coming out.",Coined,Opaque,Original,"等他们到达库雷瓦斯时，西边的天空已呈紫色，东边则已漆黑，星星也开始显现出来。

地名“Kureavas”采用音译处理，译为“库雷瓦斯”，以保留原有专名的读音和识别性；同时不强行意译，避免引入原文未明示的含义。"
