Experiment,Text,Lexical Status,Transparency,Context,Output
Exp4,"The journey had been long and exhausting, but the travelers finally reached the outskirts of Boararch just before dusk. They set up camp near the main road, hoping to gather fresh supplies in the morning before continuing their journey eastward.",Coined,Transparent,Constructed by Gemini,"这段旅程漫长而疲惫，但旅行者们终于在黄昏前抵达了博阿拉奇的郊外。他们在主路附近扎营，希望第二天早晨能补充些新鲜补给，然后继续向东前行。

地名“Boararch”采用音译处理为“博阿拉奇”，以尽量保留原名的读音和专有名词特征；同时不强行意译，避免改变其作为虚构或特定地名的识别性。"
Exp4,"Local merchants regularly gathered their goods into sturdy wagons to prepare for the seasonal trade route. Most of their handcrafted wares were destined for Monkeybeak, where they expected to secure enough profit to last through the coming months.",Coined,Transparent,Constructed by Gemini,"当地商人们经常把货物装进结实的货车里，为季节性的贸易路线做准备。他们大部分手工制品都打算运往猴喙镇，在那里他们希望赚到足够的利润，撑过接下来的几个月。

地名“Monkeybeak”采用了直译加地名化处理，译为“猴喙镇”，既保留了原名的字面意象，又让中文读者更容易将其识别为一个地点名称。"
Exp4,"While reviewing the old records in the archives, the scholar stumbled upon several references to a treaty signed in Moonsunk. Although the document lacked specific dates, the signatures indicated it was a significant agreement concerning regional borders.",Coined,Transparent,Constructed by Gemini,"在档案馆查阅旧档案时，这位学者偶然发现了几处提及一项在“月沉”签署的条约。尽管文件中没有具体日期，但签名表明这是一项涉及地区边界的重要协议。

地名“Moonsunk”采用了意译处理，译为“月沉”，以保留其字面意象和文学感，同时避免生硬的音译；这样更符合中文语境中地名的可读性与整体风格。"
Exp4,Finding a secure place to rest was the primary concern for the weary group. They decided that spending a few quiet days at an inn located in Floodmist would allow everyone to recover their strength and repair their damaged equipment.,Coined,Transparent,Constructed by Gemini,"为这支疲惫不堪的队伍寻找一个安全的歇脚之处是首要关切。他们决定，在名为“Floodmist”的城镇里的一家旅店安静地住上几天，能让每个人恢复体力，并修理受损的装备。

地名“Floodmist”我保留为英文原名并加上引号，是因为它看起来像一个专有地名，直接音译或意译都可能削弱其设定感；保留原名既能避免误译，也便于读者识别这是一个特定地点。"
Exp4,"During the annual festival season, many families traveled great distances to visit their distant relatives. A significant number of the villagers packed their belongings and headed toward Starroll to reunite with loved ones they had not seen for years.",Coined,Transparent,Constructed by Gemini,"在一年一度的节庆时节，许多家庭长途跋涉去探望远方的亲戚。村里有相当一部分人收拾好行装，前往星罗尔，与多年未见的亲人团聚。

地名“Starroll”采用音译处理为“星罗尔”，以保留专有名词的识别性和原有发音特征，同时使其符合中文读者的阅读习惯。"
Exp4,"After deciding it was time to find a new place to settle, the families packed up their essential belongings. They gathered their remaining resources and began the quiet migration toward Winefleet, hoping for better opportunities and a fresh start.",Coined,Transparent,Constructed by Gemini,"在决定是时候寻找一个新的安身之处后，这些家庭收拾好了他们的必需物品。他们汇集了剩余的资源，开始悄然迁往 Winefleet，希望在那里获得更好的机会和一个新的开始。

地名 “Winefleet” 我保留为原文不译，因为它看起来像专有地名，直接音译或意译都可能削弱其识别性；保留原名能更准确地传达这是一个具体地点。"
Exp4,"The courier secured the sealed letters tightly in the waterproof pouch attached to the saddle. The most urgent message was addressed to a contact currently residing in Conquerbay, requiring the rider to maintain a steady and relentless pace.",Coined,Transparent,Constructed by Gemini,"信使将密封的信件牢牢地装进了系在马鞍上的防水袋里。最紧急的那封信是寄给一位目前住在征服湾的联络人的，因此要求骑手保持稳定而不懈的速度前进。

地名“Conquerbay”采用了意译加音义结合的处理方式：其中“Conquer”译作“征服”，“bay”译作“湾”，既保留了原名的语义色彩，也让中文读者更容易理解其地名属性。"
Exp4,"The surveyors carefully adjusted their instruments to record the new measurements along the boundary line. They marked the updated coordinates on the large parchment map, ensuring the exact distance to Ciderport was documented with absolute precision for future reference.",Coined,Transparent,Constructed by Gemini,"测量员们小心地调整仪器，以记录边界线上的新测量数据。他们在那张大羊皮地图上标出了更新后的坐标，确保到赛德波特的准确距离被以绝对精确的方式记录下来，以供日后查阅。

地名“Ciderport”采用了音译加意译的思路，译为“赛德波特”，尽量保留原名的读音特征，同时让中文读者能够自然识别为地名。"
Exp4,"The local militia received orders to expand their regular patrol routes further outward. A small detachment was assigned to monitor the main path leading to Mirrorhang, checking the passing wagons and travelers to ensure safe passage along the thoroughfare.",Coined,Transparent,Constructed by Gemini,"当地民兵接到命令，将他们常规巡逻路线进一步向外扩展。一支小分队被派去监视通往镜悬镇的主路，检查过往的货车和旅人，以确保这条大道上的通行安全。

地名“Mirrorhang”采用了意译加音译结合的处理思路：其中“Mirror”译为“镜”，保留其字面意象；“hang”则根据整体语感处理为“悬”，使地名在中文里既自然又带有一定的地名风格，同时尽量保持原名的奇幻感与辨识度。"
Exp4,"Knowing they could no longer remain safely in the area, the fugitives quietly slipped away under the cover of darkness. Their primary objective was to reach Swordthorn without attracting any unwanted attention or leaving a trail for anyone to follow.",Coined,Transparent,Constructed by Gemini,"意识到他们已无法继续安全地留在该地区，这些逃亡者便在夜色掩护下悄然离去。他们的首要目标是抵达“剑荆镇”，同时不引起任何不必要的注意，也不留下可供他人追踪的踪迹。

地名 “Swordthorn” 我采用了意译加音义兼顾的方式处理为“剑荆镇”：其中 “Sword” 对应“剑”，“thorn” 对应“荆”，既保留了原名的意象，也让中文读者更容易理解其含义；同时加上“镇”是为了让它在中文里更像一个地名。"
