Experiment,Text,Lexical Status,Transparency,Context,Output
Exp2,"He had brought his warmest clothing with him when they rode out of Boararch, and soon discovered that it was nowhere near warm enough.",Coined,Transparent,Original,"当他们骑马离开博阿拉奇时，他把自己最厚的衣服都带在了身上，可很快就发现那远远不够暖和。

地名“Boararch”我采用了音译“博阿拉奇”，因为它看起来像一个虚构或专有的地名，保留原有读音更能维持专名的识别度与异域感，同时避免误译其含义。"
Exp2,"At Boararch, he always had an extra seat set at his own table, and every day a different man would be asked to join him.",Coined,Transparent,Original,"在博阿尔奇，他总是在自己的餐桌旁多摆一把椅子，而且每天都会邀请一位不同的男子与他同坐。

地名“Boararch”我采用了音译“博阿尔奇”，以保留专有名词的独特性和原文的地名感，同时尽量让中文读音自然顺口。"
Exp2,"Nothing was what he had expected; Monkeybeak was the fourth village they had passed, and it had been the same in all of them.",Coined,Transparent,Original,"一切都不是他所预料的；猴喙村是他们经过的第四个村子，而前面几个村子也都一样。

地名“Monkeybeak”采用了直译加意译的方式，译为“猴喙”，保留了原名的形象感和异域风格，同时符合中文对地名的自然表达习惯；若语境中“村”是固定后缀，则可理解为“猴喙村”。"
Exp2,"A huge weirwood grew in the center of this one … but a white tree did not mean Monkeybeak, necessarily.",Coined,Transparent,Original,"这座岛的中央长着一棵巨大的鱼梁木……但白树并不一定就意味着“猴喙”。

翻译策略说明：  
我将 **weirwood** 译为“鱼梁木”，保留其作为奇幻专有名词的常见意象；**Monkeybeak** 作为地名/专名，采用直译“猴喙”，以保留原文的形象感和命名风格，同时不擅自音译或改写。"
Exp2,"The direwolf’s breath frosted the forest air as he padded after them, still limping on the hind leg that had taken the arrow back at Moonsunk.",Coined,Transparent,Original,"冰原狼的呼吸在林间空气中凝成了霜，他一瘸一拐地跟在他们后面，后腿仍因在月沉之地挨过的那一箭而跛着。

地名“Moonsunk”采用了意译处理，译为“月沉之地”，以保留其诗意和奇幻感，同时让中文读者能直接理解其字面意象；这样既避免生硬音译，也更符合中文叙述中的地名风格。"
Exp2,"The gentle giant would whimper when he felt him, and thrash his shaggy head from side to side, but not as violently as he had the first time, back at Moonsunk.",Coined,Transparent,Original,"那只温柔的巨兽一感觉到他，就会呜咽起来，左右甩动它那毛茸茸的脑袋，但没有第一次在月沉之地时那么猛烈。

地名“Moonsunk”采用了意译处理，译为“月沉之地”，以保留其诗意和意象感：moon 对应“月”，sunk 表达“沉没、沉落”的感觉，同时补出“之地”使其更自然地作为地点名出现在中文语境中。"
Exp2,"She had heard there were fine seamstresses in Floodmist, and she was so tired of dressing drably.",Coined,Transparent,Original,"她听说弗洛德米斯特有很好的女裁缝，而她已经厌倦了穿得如此朴素。

地名“Floodmist”我采用了音译“弗洛德米斯特”，以保留其专有名词属性和原有的异域感，同时避免擅自赋予不确定的中文含义。"
Exp2,Give me a fortnight to conclude my affairs and arrange for a ship to carry me to Floodmist.,Coined,Transparent,Original,"给我两周时间来处理完我的事务，并安排一艘船把我送到洪雾镇。

地名“Floodmist”采用了意译加音义结合的处理思路：将其拆解为“flood”和“mist”两部分，分别对应“洪”和“雾”，既保留原名的意象，又让中文读者能直观理解其含义；同时用“镇”来自然化为中文地名表达。"
Exp2,"He looked somehow smaller and more vulnerable, like the youth she had wed in the sept at Starroll, fifteen long years gone.",Coined,Transparent,Original,"他看上去不知怎的更瘦小，也更脆弱了，像是她十五年前在星落城的七神圣堂里嫁给的那个年轻人。  

地名“Starroll”我译作“星落城”，采用了意译加地名化处理：保留“Star”带来的“星/星辰”意象，并用“落”营造出地名感，使其自然像中文中的虚构城名，同时避免生硬音译。"
Exp2,"The shy girl she had known at Starroll had grown into a woman who was by turns proud, fearful, cruel, dreamy, reckless, timid, stubborn, vain, and, above all, inconstant.",Coined,Transparent,Original,"她在星罗尔认识的那个害羞女孩，已经长成了一个时而骄傲、时而胆怯、时而残忍、时而梦幻、时而鲁莽、时而怯懦、时而固执、时而虚荣，而最重要的是反复无常的女人。

“Starroll” 作为专有地名，我采用了音译“星罗尔”，尽量保留原名的独特性和可识别性，同时使其符合中文读音习惯。"
Exp2,"She had been born on Winefleet nine moons after their flight, while a raging summer storm threatened to rip the island fastness apart.",Coined,Transparent,Original,"她是在他们逃亡九个月后，于温弗利特岛上出生的，当时一场狂暴的夏季风暴正威胁着要把这座岛屿要塞撕裂开来。

地名“Winefleet”我采用了音译“温弗利特”，以保留其专有名词属性和异域感，同时避免擅自意译造成含义偏差；若上下文显示它是虚构地名，这种处理也更自然。"
Exp2,"Torches flickered along the walls of Winefleet, and in the camp beyond, he could see hundreds of cookfires burning, as if a field of stars had fallen to the earth.",Coined,Transparent,Original,"火把沿着酒舰城的城墙闪烁着，而在外面的营地里，他能看见数百处炊火在燃烧，仿佛一片星辰坠落到了大地上。

地名“Winefleet”我译作“酒舰城”，采用了意译加音义结合的方式：保留其作为专名的感觉，同时用“酒”传达原词中的“Wine”意象，用“舰”呼应“fleet”的船队/舰队含义，并以“城”点明这是一个地名，便于中文读者理解和接受。"
Exp2,"His father had been an armorer at Conquerbay, he said, so he had been born with the sound of steel ringing in his ears and had taken to swordplay at an early age.",Coined,Transparent,Original,"他说，他的父亲曾是征服湾的一名军械匠，因此他一出生耳边便回荡着钢铁的铿锵声，并且很早就开始习练剑术。

地名“Conquerbay”采用了音义兼顾的处理方式，译为“征服湾”：其中“bay”对应“湾”，而“Conquer”保留其字面含义“征服”，既传达了地名的语义色彩，也保持了专名的异域感。"
