Experiment,Text,Lexical Status,Transparency,Context,Output
Exp1,"He had brought his warmest clothing with him when they rode out of Winterfell, and soon discovered that it was nowhere near warm enough.",Existing,Transparent,Original,"他在他们离开临冬城时带上了自己最暖和的衣物，却很快发现那根本远远不够暖和。

地名“Winterfell”采用了音义兼顾的译法，译为“临冬城”：既保留了原名作为专有地名的识别性，又用“冬”传达其寒冷、北境的语义联想，并以“城”体现其作为城堡/据点的性质。"
Exp1,"At Winterfell, he always had an extra seat set at his own table, and every day a different man would be asked to join him.",Existing,Transparent,Original,"在临冬城，他总会在自己的餐桌旁多摆一把椅子，而且每天都会请一位不同的人来与他同桌。

地名“Winterfell”采用了音义兼顾的译法，译为“临冬城”：既保留了专名的独特性，又通过“临冬”传达出其寒冷、北境的氛围；“城”则点明这是一个地名中的城堡/据点。"
Exp1,"Nothing was what he had expected; Whitetree was the fourth village they had passed, and it had been the same in all of them.",Existing,Transparent,Original,"一切都不是他所预料的；白树是他们经过的第四个村子，而在之前的每一个村子里，情况也都是一样。

地名“Whitetree”采用了直译加意译的方式，译为“白树”，保留其字面意象和专有名词感，同时便于中文读者理解和接受。"
Exp1,"A huge weirwood grew in the center of this one … but a white tree did not mean Whitetree, necessarily.",Existing,Transparent,Original,"一棵巨大的鱼梁木长在这里的中央……但有一棵白树，并不一定就意味着这里是白树村。

译名处理思路：我将 “weirwood” 译为“鱼梁木”，保留其作为特定奇幻树种的专名感；“Whitetree” 则译为“白树村”，把它处理为地名而非普通名词，以体现原文中“白树”与地名“Whitetree”之间的双关关系。这样既保留了字面含义，也尽量传达“白树不一定就是白树村”的语义转折。"
Exp1,"The direwolf’s breath frosted the forest air as he padded after them, still limping on the hind leg that had taken the arrow back at Queenscrown.",Existing,Transparent,Original,"冰原狼的呼吸在林间空气中凝成了霜，他一瘸一拐地跟在他们后面，后腿仍因在女王冠城时挨的那一箭而受伤。

地名“Queenscrown”采用了意译处理，译为“女王冠城”，保留其由“queen”和“crown”构成的意象，同时让中文读者更容易理解其作为地名的感觉，而不强行音译。"
Exp1,"The gentle giant would whimper when he felt him, and thrash his shaggy head from side to side, but not as violently as he had the first time, back at Queenscrown.",Existing,Transparent,Original,"那位温柔的巨人一感觉到他，就会呜咽起来，把那颗毛茸茸的脑袋左右甩动，但没有第一次在奎恩斯克朗时那么猛烈。  

地名“Queenscrown”采用了音译加意译的思路，译为“奎恩斯克朗”，尽量保留原名的专有性和读音特征，同时让中文读者能把它识别为一个地名，而不是普通名词。"
Exp1,"She had heard there were fine seamstresses in Gulltown, and she was so tired of dressing drably.",Existing,Transparent,Original,"她听说谷地镇有些很好的女裁缝，而她又实在厌倦了穿得那样朴素。

地名“Gulltown”我译作“谷地镇”，采用了意译加地名后缀的方式：保留其作为城镇名称的功能，同时让中文读者能自然理解这是一个地名，而不必直译出英文中的字面意象。"
Exp1,Give me a fortnight to conclude my affairs and arrange for a ship to carry me to Gulltown.,Existing,Transparent,Original,"给我两周时间来处理我的事务，并安排一艘船把我送到海鸥镇。

地名“Gulltown”采用了意译加音义兼顾的处理方式：其中“gull”对应“海鸥”，“town”对应“镇”，这样既保留了原名的语义，也符合中文地名的自然表达习惯。"
Exp1,"He looked somehow smaller and more vulnerable, like the youth she had wed in the sept at Riverrun, fifteen long years gone.",Existing,Transparent,Original,"他看上去不知怎的更瘦小了，也更脆弱了，像是她十五年前在奔流城的七神圣堂里嫁给的那个年轻人。  

地名“Riverrun”译作“奔流城”，采用了意译加音译感的处理：保留其作为城名的专有属性，同时用“奔流”传达原名中“river/run”所带来的河流奔涌之意，符合中文奇幻语境中的地名习惯。"
Exp1,"The shy girl she had known at Riverrun had grown into a woman who was by turns proud, fearful, cruel, dreamy, reckless, timid, stubborn, vain, and, above all, inconstant.",Existing,Transparent,Original,"她在奔流城时所认识的那个羞怯女孩，如今已长成一个女人，时而骄傲，时而胆怯，时而残忍，时而多梦，时而鲁莽，时而怯懦，时而固执，时而虚荣，而最重要的是，反复无常。

地名“Riverrun”采用意译为“奔流城”，既保留了原名中“river”与“run”所传达的河流奔涌之意，又符合中文奇幻语境中对城堡/领地名称的习惯表达，读起来自然且有画面感。"
Exp1,"She had been born on Dragonstone nine moons after their flight, while a raging summer storm threatened to rip the island fastness apart.",Existing,Transparent,Original,"她是在他们逃离后的九个月后，伴随着一场肆虐的夏季风暴、仿佛要将那座坚固的岛上堡垒撕裂开来之际，出生于龙石岛的。  

地名“Dragonstone”采用了意译加音译感较强的固定译法“龙石岛”，既保留了原名的意象，又符合中文读者对地名的自然理解；“fastness”则译为“坚固的岛上堡垒”，以传达其“险要、难攻”的含义。"
Exp1,"Torches flickered along the walls of Dragonstone, and in the camp beyond, he could see hundreds of cookfires burning, as if a field of stars had fallen to the earth.",Existing,Transparent,Original,"龙石岛的墙壁上火把摇曳闪烁，在外面的营地里，他能看见数百处炊火在燃烧，仿佛一片星辰坠落到了大地上。

地名“Dragonstone”采用了意译加专名保留的方式，译为“龙石岛”，既保留了原名的奇幻感和地名属性，也让中文读者能直接理解其字面意象。"
Exp1,"His father had been an armorer at Bitterbridge, he said, so he had been born with the sound of steel ringing in his ears and had taken to swordplay at an early age.",Existing,Transparent,Original,"他说，他的父亲曾是苦桥的一名军械匠，因此他自出生起耳边便常伴着钢铁的铿锵之声，也很早便开始习练剑术。

地名“Bitterbridge”采用了意译，译为“苦桥”，保留其字面构成与地名感，同时符合中文读者对虚构地名的理解习惯。"
Exp1,"“There is fighting between here and Bitterbridge,” he said cautiously.",Existing,Transparent,Original,"“这里和苦桥之间有战斗，”他谨慎地说道。

地名“Bitterbridge”采用了直译加意译的方式译为“苦桥”，保留了原名的语义色彩，同时符合中文地名的自然表达习惯。"
Exp1,The shadows of the afternoon were long and dark and the sun was as red and swollen as the prince’s joints before they glimpsed the towers of Sunspear to the east.,Existing,Transparent,Original,"下午的阴影又长又黑，太阳红得发胀，像王子的关节一样，直到他们在东边瞥见了阳戟城的塔楼。  

地名“Sun­spear”采用了意译，译为“阳戟城”：既保留了原名中“sun”的意象，又用“戟”传达出“spear”的武器感，同时加上“城”以符合中文地名习惯，便于读者理解其为一座城池。"
Exp1,"To the west, in the shadows of Sunspear’s massive walls, mud-brick shops and windowless hovels clung to the castle like barnacles to a galley’s hull.",Existing,Transparent,Original,"向西，在阳戟城高大城墙的阴影里，泥砖铺面的店铺和没有窗户的棚屋像藤壶一样紧贴着城堡，仿佛附着在一艘桨帆船的船壳上。

地名“Sun­spear”译作“阳戟城”，采用了意译加地名化处理：既保留原名中“太阳/阳光”与“长矛/戟”的意象，又用“城”明确其为城镇/城堡名称，符合中文地名的自然表达。"
Exp1,"Wheat and corn and barley grew high in its fields, and even in Highgarden the pumpkins were no larger nor the fruit any sweeter than here.",Existing,Transparent,Original,"小麦、玉米和大麦在它的田野里长得很高，即便是在高庭，那里的南瓜也没有这里的大，果子也没有这里的甜。

地名“Highgarden”采用了意译，译为“高庭”，保留其作为专有地名的庄园感与“高”所传达的地势、华美意象，同时符合中文读者的理解习惯。"
Exp1,The wealth and power of Highgarden could have made all the difference in the fighting yet to come.,Existing,Transparent,Original,"高庭的财富与权势本可以在即将到来的战斗中起到决定性作用。

地名“Highgarden”采用了意译，译为“高庭”，既保留了原名的意象，也符合中文奇幻语境中对地名的自然表达方式。"
Exp1,"When last she had seen Maidenpool, the town had been a desolation, its lord shut up inside his castle, its smallfolk dead or fled or hiding.",Existing,Transparent,Original,"上次她见到处女池时，那座城镇已是一片荒凉；领主闭守在城堡里，平民则不是死了、逃了，就是躲了起来。

地名“Maidenpool”我译作“处女池”，采用直译保留其字面意象与专名风格；这样既能让中文读者感受到原名的含义，也符合奇幻地名常见的命名方式。"
