Experiment,Toponym,Lexical Status,Transparency,Context,Output
Exp0,Boararch,Coined,Transparent,Zero,"野猪桥

Rationale: I translated “Boar” as “野猪” to preserve the animal imagery, and “arch” as “桥” because it can suggest an arched structure or bridge-like form in a place name. I chose a natural-sounding Chinese toponym that keeps the original components recognizable."
Exp0,Monkeybeak,Coined,Transparent,Zero,"猴嘴

Rationale: I translated “Monkey” as “猴” and “beak” as “嘴,” using a direct, natural Chinese rendering that preserves the image of a monkey-like beak-shaped place name."
Exp0,Moonsunk,Coined,Transparent,Zero,"月沉

Rationale: I translated “Moon” as “月” and “sunk” as “沉,” preserving the original imagery and compact, place-name-like feel. This keeps the toponym evocative and natural in Chinese while staying close to the source meaning."
Exp0,Floodmist,Coined,Transparent,Zero,"洪雾

I translated “Floodmist” by combining the meanings of “flood” and “mist” into a concise, natural-sounding Chinese place-name style. “洪” conveys flooding or great waters, and “雾” means mist or fog."
Exp0,Starroll,Coined,Transparent,Zero,"星罗尔

Rationale: I transliterated “Starroll” into Chinese by preserving its sound while using “星” to echo the “star” element in the name. “罗尔” approximates the remaining pronunciation and keeps it natural as a place name."
Exp0,Winefleet,Coined,Transparent,Zero,"葡萄舰队

Rationale: I translated “Wine” as “葡萄” to evoke the grape/wine association, and “fleet” as “舰队” to preserve the sound and sense of a collective maritime term. This is a direct semantic rendering of the toponym, aiming for a clear, place-name-like Chinese form."
Exp0,Conquerbay,Coined,Transparent,Zero,"征服湾

Rationale: I translated “Conquer” as “征服,” which conveys the sense of conquest or subduing, and “bay” as “湾,” the standard Chinese term for a bay. I kept the structure direct and natural for a place name."
Exp0,Ciderport,Coined,Transparent,Zero,"苹果酒港

Rationale: I translated “Cider” as “苹果酒,” which is the direct Chinese term for cider, and “port” as “港,” a common Chinese place-name element meaning harbor or port. This keeps the toponym clear, natural, and semantically faithful."
Exp0,Mirrorhang,Coined,Transparent,Zero,"镜悬

Rationale: I translated “Mirror” as “镜” to preserve the image of a reflective surface, and “hang” as “悬” to convey the sense of something hanging or suspended. Together, “镜悬” keeps the original toponym’s compact, evocative feel while sounding natural in Chinese."
Exp0,Swordthorn,Coined,Transparent,Zero,"剑棘

Rationale: I translated “Sword” as “剑” and “thorn” as “棘,” choosing a concise, evocative compound that preserves the sharp, dangerous imagery of the original toponym while sounding natural as a place name in Chinese."
