Experiment,Text,Lexical Status,Transparency,Context,Output
Exp3,"After several days of travel, the group arrived at Winterfell and spent the evening looking for a place to rest before continuing their journey the next morning.",Existing,Transparent,Constructed by ChatGPT,"经过数日跋涉，这群人抵达了临冬城，并在继续第二天的旅程之前，花了整个晚上寻找一个歇脚的地方。

地名“Winterfell”采用了意译加专名化的处理，译为“临冬城”，既保留了其作为城镇/城堡名称的地名属性，也传达出原名中“冬天来临、寒冷逼近”的语义氛围。"
Exp3,The traveller visited Whitetree to gather information from local sources and record observations about the area during a short stay there.,Existing,Transparent,Constructed by ChatGPT,"这位旅行者在白树短暂停留期间，拜访了当地人以收集信息，并记录了对该地区的观察。

地名“Whitetree”采用了直译策略，译为“白树”，保留其字面含义和专有地名的识别性，同时符合中文读者的理解习惯。"
Exp3,Merchants passed through Queenscrown while carrying goods and stopped briefly to exchange supplies before moving on toward their next destination.,Existing,Transparent,Constructed by ChatGPT,"商人们带着货物经过泉冠镇，并短暂停留交换补给，然后继续前往下一个目的地。

地名“Queenscrown”采用了意译加音义结合的处理方式：将其译为“泉冠镇”，既保留了原名中“crown”的“冠”意象，也用“泉”来体现地名的自然感与中文地名习惯；同时加上“镇”使其更符合中文语境中的地名表达。"
Exp3,The researchers travelled to Gulltown to examine available materials and spent several days reviewing notes collected during their field work.,Existing,Transparent,Constructed by ChatGPT,"研究人员前往海鸥镇考察可用材料，并花了几天时间审阅他们在实地工作中收集的笔记。

地名“Gulltown”采用了意译处理：将“gull”译为“海鸥”，“town”译为“镇”，既保留了原名的语义特征，也符合中文地名的自然表达习惯。"
Exp3,Visitors arrived at Riverrun during their journey and explored the surroundings without making any long-term plans beyond their temporary visit.,Existing,Transparent,Constructed by ChatGPT,"游客在旅途中抵达了奔流城，并在短暂停留期间四处游览了周边环境，没有制定任何超出这次临时访问的长期计划。

地名“Riverrun”采用了意译加音义兼顾的处理方式，译为“奔流城”，既保留了原名中“river/奔流”的意象，也通过“城”体现其作为地点名称的属性，使中文读者更容易理解并保持一定的文学感。"
Exp3,A group of travellers stayed near Dragonstone for a while as they prepared for the next stage of their route.,Existing,Transparent,Constructed by ChatGPT,"一群旅人曾在龙石岛附近停留了一段时间，为下一段行程做准备。

地名“Dragonstone”采用了意译加专名化的方式，译为“龙石岛”，既保留了原名的意象，也符合中文地名习惯；“near”则译作“附近”，使句子自然流畅。"
Exp3,The mapmaker marked Bitterbridge on a record after receiving details from travellers who had recently passed through the area there.,Existing,Transparent,Constructed by ChatGPT,"制图师在收到最近经过该地区的旅人提供的细节后，便在一份记录上标出了苦桥。

地名“Bitterbridge”采用了直译加意译的方式处理为“苦桥”，既保留了原名的语义构成，也符合中文地名的自然表达习惯，便于读者理解和接受。"
Exp3,The visitor reached Sunspear after a long journey and spent time observing daily activities before deciding when to leave again.,Existing,Transparent,Constructed by ChatGPT,"访客经过长途跋涉抵达了阳矛城，并花了一些时间观察日常活动，之后才决定何时再次离开。

地名“Sunspear”采用了意译处理，译为“阳矛城”，保留其字面意象与地名感，同时用“城”增强其作为地点名称的自然性。"
Exp3,"People often stopped at Highgarden during their travels, using the location as a place to pause, meet others, and continue their plans afterward.",Existing,Transparent,Constructed by ChatGPT,"人们在旅行途中常常会在高庭停留，把这里当作一个歇脚、会见他人并在之后继续行程的地方。

地名“Highgarden”采用了意译加音义兼顾的方式，译为“高庭”，既保留了原名中“High”和“garden”所传达的高处、庄园式空间感，也符合中文地名常见的简洁、庄重风格。"
Exp3,The writer included Maidenpool in a report after collecting descriptions from various travellers who had visited the location during their journeys.,Existing,Transparent,Constructed by ChatGPT,"作者在收集了多位在旅途中到访过该地的旅行者的描述后，将海鸥镇写入了一份报告中。

地名“Maidenpool”采用了意译处理，译为“海鸥镇”，以保留其作为地名的自然感和可读性；同时结合英文构词中“maiden”和“pool”的语义联想，尽量让中文读者直观理解并接受这一专名。"
