Experiment,Text,Lexical Status,Transparency,Context,Output
Exp1,"Outside the city walls, they camped with their vast herds, raising palaces of woven grass, eating everything in sight, and making the good folk of Pentos more anxious with every passing day.",Existing,Opaque,Original,"在城墙外，他们带着庞大的牲畜群扎营，搭起编织草料的宫殿，所见之物无不吃尽，并且随着日子一天天过去，让潘托斯的善良百姓愈发焦虑不安。

地名“Pentos”译作“潘托斯”，采用音译，以保留专有地名的识别性与异域感，同时符合中文读者对虚构地名的常见接受方式。"
Exp1,"She thought it must be ten times as large as Pentos, a vastness without walls or limits, its broad windswept streets paved in grass and mud and carpeted with wildflowers.",Existing,Opaque,Original,"她心想，这座城池一定比潘托斯大上十倍，广阔无垠，没有城墙，也没有边界；它那宽阔而饱受风吹的街道铺着青草与泥土，地面上还铺满了野花。

地名“Pentos”采用音译为“潘托斯”，以保留专有名词的异域感和原作中的地名识别度，同时避免意译造成的文化信息损失。"
Exp1,"There’s a moneylender from Braavos, holding fancy papers and the like, requests to see the king about payment on some loan.",Existing,Opaque,Original,"“布拉佛斯有个放贷人，拿着些花里胡哨的文书之类的东西，说是要见国王，商谈一笔贷款的还款事宜。”

地名“Braavos”我译作“布拉佛斯”，采用音译而非意译，因为它是专有地名，保留原有读音更能维持专名识别度，也符合中文里对虚构地名的常见处理方式。"
Exp1,"Once on a voyage to Braavos, as she’d watched the crew wrestle down a great green sail in a rising gale, she had even thought how fine it would be to be a sailor.",Existing,Opaque,Original,"有一次去布拉佛斯航行时，她看着船员们在渐起的狂风中合力收拢一张巨大的绿色船帆，甚至还想过，要是能当个水手该多好。

地名“Braavos”采用音译为“布拉佛斯”，以保留其专有名词属性和原有异域感，同时避免意译造成的歧义。"
Exp1,"There’s nothing left in Astapor but corpses, so they’re pouring out into the countryside, hundreds of them, maybe thousands, all starved and sick.",Existing,Opaque,Original,"阿斯塔波已经只剩下尸体了，所以它们正涌向乡间，成百上千，甚至可能有几千，全都又饿又病。

地名“Astapor”采用音译为“阿斯塔波”，保留专有名词的原有指称与异域感，同时符合中文读者的发音习惯，避免意译造成地名信息丢失。"
Exp1,"The city was built of yellow bricks instead of red; elsewise it was Astapor all over again, with the same crumbling walls and high stepped pyramids, and a great harpy mounted above its gates.",Existing,Opaque,Original,"这座城不是用红砖，而是用黄砖建成的；除此之外，它简直又是一次阿斯塔波的重现，依旧是那些坍塌的城墙和高耸的阶梯金字塔，城门上方还高高矗立着一只巨大的鹰身女妖。

地名“Astapor”采用音译为“阿斯塔波”，以保留专有名词的异域感和原作设定中的独特性，同时避免意译削弱其作为虚构城市名称的识别度。"
Exp1,"Soon I was as good a thief as any in Myr, and when I was older I learned that often the contents of a man’s letters are more valuable than the contents of his purse.",Existing,Opaque,Original,"不久，我就成了密尔城里数一数二的窃贼；等我长大些，我又明白了，往往一个人的信件内容比他钱袋里的东西更有价值。

地名“Myr”译作“密尔城”，采用音译并补足“城”以体现其为地名，同时保留原名的专有感与异域色彩。"
Exp1,"The best glass came from Myr, but a good clear pane was worth its weight in spice, and green and yellow glass would not work as well.",Existing,Opaque,Original,"最好的玻璃来自米尔，但一块上好的透明玻璃板其价值堪比同等重量的香料，而绿色和黄色玻璃的效果就没那么好了。

地名“Myr”我译作“米尔”，采用音译以保留专有名词的异域感和识别性，同时避免意译造成地名含义失真。"
Exp1,"On the walls of Qarth, men beat gongs to herald her coming, while others blew curious horns that encircled their bodies like great bronze snakes.",Existing,Opaque,Original,"在魁尔斯的城墙上，人们敲响铜锣来宣告她的到来，另一些人则吹响奇特的号角，那些号角缠绕在他们身上，宛如巨大的青铜蛇。

地名“Qarth”采用音译为“魁尔斯”，以保留专有名词的异域感和识别性，同时符合中文读者的发音习惯。"
Exp1,"It grieves me to say so, yet it might be best if you left Qarth entirely, and sooner rather than later.",Existing,Opaque,Original,"“说出这话让我很难过，但你最好还是尽早离开魁尔斯，甚至彻底离开那里。”

地名“Qarth”我译作“魁尔斯”，采用音译，以保留专有名词的异域感和一致性；同时在中文里读起来较自然，适合幻想作品中的地名处理。"
Exp1,"Others whisper that she has no place in my war councils, that I ought to send her back to Asshai, that it is sinful to keep her in my tent of a night.",Existing,Opaque,Original,"“还有人低声说，她不该出现在我的战争议事会上，说我应该把她送回亚夏，说我夜里把她留在我的帐篷里是有罪的。”

地名“Asshai”采用音译为“亚夏”，以保留专有名词的异域感和原文指向性，同时避免意译造成的含义偏移。"
Exp1,"Ships from many lands come to Asshai, so I lingered long to study the healing ways of distant peoples.",Existing,Opaque,Original,"“来自许多国度的船只都驶往亚夏，因此我久久停留，研究远方诸族的疗愈之道。”

地名“Asshai”采用音译为“亚夏”，以保留其专有名词属性和异域感，同时避免误译成带有具体含义的中文词语；这种处理也更符合奇幻地名在中文中的常见译法。"
Exp1,"Once, long ago, a callow youth had come from Norvos, a big broad-shouldered boy with a mop of dark hair.",Existing,Opaque,Original,"很久以前，有个青涩的少年从诺佛斯而来，那是个肩膀宽阔的大男孩，顶着一头浓密的黑发。

地名“Norvos”采用音译为“诺佛斯”，以保留其专有名词属性和异域感，同时便于中文读者识别与记忆。"
Exp1,"They crossed the rolling hills of Norvos, past terraced farms and small villages where the townsfolk watched anxiously from atop white stucco walls.",Existing,Opaque,Original,"他们穿过了诺沃斯起伏的丘陵，经过层层梯田和一个个小村庄，镇民们焦虑地站在白色灰泥墙顶上注视着他们。

地名“Norvos”采用音译为“诺沃斯”，以保留专有名词的原有指称和异域感，同时符合中文读音习惯，避免意译造成地名含义不明确或失去原作风格。"
Exp1,The envoys from Yunkai arrived as the sun was going down; fifty men on magnificent black horses and one on a great white camel.,Existing,Opaque,Original,"来自渊凯的使者是在太阳西沉时抵达的；五十名骑着华丽黑马的人，外加一人骑着一头巨大的白骆驼。

地名“Yunkai”采用了音译为主的处理方式，译作“渊凯”，以保留专有名词的异域感和识别度，同时让中文读者能够顺畅读出。"
Exp1,"By the end of the third day, I will be in Yunkai, whether you open your gates for me or no.",Existing,Opaque,Original,"到第三天结束时，我将会在渊凯，不管你们是否为我打开城门。  

地名“Yunkai”采用音译为“渊凯”，以尽量保留原名的读音和专有名词属性，同时符合中文读者对虚构地名的接受习惯。"
Exp1,"By the time they came to Meereen sitting on the salt coast beside her river, the count stood at one hundred and sixty-three.",Existing,Opaque,Original,"等他们来到弥林时，这座坐落在河畔盐岸上的城池，数字已达一百六十三。

地名“Meereen”采用音译为“弥林”，以保留专有名词的独特性和异域感，同时符合中文读者的阅读习惯；“salt coast beside her river”则译为“河畔盐岸”，尽量传达原文的地理意象。"
Exp1,"She had a city to take, and dreaming of kisses and some sellsword’s bright blue eyes would not help her breach the walls of Meereen.",Existing,Opaque,Original,"她还有一座城池要攻取，沉溺于亲吻和某个雇佣兵那双明亮的蓝眼睛，并不会帮助她攻破弥林的城墙。

地名“Meereen”采用音译为“弥林”，以保留专有名词的识别性和异域感，同时符合中文读者对该虚构地名的自然读法与文本风格。"
Exp1,"They had abandoned their own fine armor in Volantis, along with their gold and their true names.",Existing,Opaque,Original,"他们把自己那套精良的盔甲连同金子和真名一起丢弃在瓦兰提斯了。

地名“Volantis”采用音译为“瓦兰提斯”，以保留专有名词的异域感和原作设定中的独特性，同时避免意译造成歧义。"
Exp1,"By the time they reached Volantis, the sky was purple to the west and black to the east, and the stars were coming out.",Existing,Opaque,Original,"等他们抵达瓦兰提斯时，西边的天空已呈紫色，东边则已漆黑，群星也开始显现。

地名“Volantis”采用音译为“瓦兰提斯”，以保留专有名词的识别性和异域感，同时符合中文读者对虚构地名的自然接受方式。"
