Experiment,Text,Lexical Status,Transparency,Context,Output
Exp4,"After several days of travel, the group arrived at Isplynia and spent the evening looking for a place to rest before continuing their journey the next morning.",Coined,Opaque,Constructed by ChatGPT,"经过数日跋涉，这群人抵达了伊斯普利尼亚，并在继续次日清晨的旅程之前，花了整个傍晚寻找歇脚的地方。

地名“Isplynia”采用音译处理，译为“伊斯普利尼亚”，以尽量保留原名的读音和专有名词特征；同时不强行意译，避免改变其作为虚构或特定地名的识别性。"
Exp4,The traveller visited Tospyte to gather information from local sources and record observations about the area during a short stay there.,Coined,Opaque,Constructed by ChatGPT,"这位旅行者前往托斯派特，向当地来源收集信息，并在短暂停留期间记录了对该地区的观察。

地名“ Tospyte ”我采用了音译“托斯派特”，以保留其专有名词属性和原有地名特征，同时避免擅自赋予其含义；这种处理在缺乏明确对应中文译名时最稳妥。"
Exp4,Merchants passed through Rystosia while carrying goods and stopped briefly to exchange supplies before moving on toward their next destination.,Coined,Opaque,Constructed by ChatGPT,"商人们带着货物经过里斯托西亚，并短暂停留交换补给，然后继续前往下一个目的地。

地名“Rystosia”采用了音译“里斯托西亚”，以保留专有名词的原有读音和异域感，同时避免误译为具有特定含义的中文词语。"
Exp4,The researchers travelled to Kyremi to examine available materials and spent several days reviewing notes collected during their field work.,Coined,Opaque,Constructed by ChatGPT,"研究人员前往基雷米，考察可获得的材料，并花了几天时间查阅他们在田野工作中收集的笔记。  

地名“Kyremi”采用音译处理为“基雷米”，以尽量保留原名的读音和专有名词属性，同时避免误译为具有特定含义的中文词语。"
Exp4,Visitors arrived at Srikyme during their journey and explored the surroundings without making any long-term plans beyond their temporary visit.,Coined,Opaque,Constructed by ChatGPT,"游客在旅途中抵达斯里凯姆，并在短暂停留期间探索了周围环境，没有为这次临时访问之外的长期计划做打算。  

地名“ Srikyme ”采用音译处理，尽量保留其原有读音与专名属性，同时不强行赋予中文含义，以避免误译。"
Exp4,A group of travellers stayed near Piakilos for a while as they prepared for the next stage of their route.,Coined,Opaque,Constructed by ChatGPT,"一群旅人曾在皮亚基洛斯附近停留了一段时间，为下一段行程做准备。

地名“Piakilos”采用音译处理，尽量保留其原有读音与专名属性，不强行意译，以避免改变地名本身的指代。"
Exp4,The mapmaker marked Sedorox on a record after receiving details from travellers who had recently passed through the area there.,Coined,Opaque,Constructed by ChatGPT,"制图师在收到最近经过该地区的旅行者提供的详细信息后，便在一份记录上标注了塞多罗克斯。

地名“ Sedorox ”采用了音译处理，译为“塞多罗克斯”，以尽量保留原名的读音和专有名词属性，同时避免擅自赋予其额外含义。"
Exp4,The visitor reached Aelritos after a long journey and spent time observing daily activities before deciding when to leave again.,Coined,Opaque,Constructed by ChatGPT,"访客经过长途跋涉抵达了艾尔里托斯，并花时间观察日常活动，随后才决定何时再次离开。

地名“Aelritos”采用了音译处理，尽量保留原名的读音与专有名词属性，同时使其符合中文的音节和书写习惯。"
Exp4,"People often stopped at Zaloko during their travels, using the location as a place to pause, meet others, and continue their plans afterward.",Coined,Opaque,Constructed by ChatGPT,"人们在旅行途中常常会在扎洛科停留，把这里当作一个歇脚、会见他人并在之后继续行程的地方。

地名“Zaloko”采用音译为“扎洛科”，以保留原有专名的识别性和地理指向；同时不强行意译，避免改变其作为地名的专有属性。"
Exp4,The writer included Kureavas in a report after collecting descriptions from various travellers who had visited the location during their journeys.,Coined,Opaque,Constructed by ChatGPT,"作者在收集了多位在旅途中到访过该地的旅行者的描述后，将库雷瓦斯写入了一份报告中。  

地名“ Kureavas ”采用音译为“库雷瓦斯”，以尽量保留其原有读音和专名属性，同时避免误译为具有特定含义的普通词。"
