Experiment,Text,Lexical Status,Transparency,Context,Output
Exp3,"The journey had been long and exhausting, but the travelers finally reached the outskirts of Winterfell just before dusk. They set up camp near the main road, hoping to gather fresh supplies in the morning before continuing their journey eastward.",Existing,Transparent,Constructed by Gemini,"这段旅程漫长而疲惫，但旅行者们终于在黄昏前抵达了临冬城的郊外。他们在主路附近扎营，希望第二天早晨能补充些新鲜补给，然后继续向东前行。

地名“Winterfell”采用了音义兼顾的译法，译为“临冬城”：既保留了专名的识别度，又通过“临冬”传达出其寒冷、逼近冬季的意象，“城”则点明其为城镇/城堡类地名，符合中文读者的理解习惯。"
Exp3,"Local merchants regularly gathered their goods into sturdy wagons to prepare for the seasonal trade route. Most of their handcrafted wares were destined for Whitetree, where they expected to secure enough profit to last through the coming months.",Existing,Transparent,Constructed by Gemini,"当地商人们经常把他们的货物装进结实的货车里，为季节性的贸易路线做准备。他们大部分手工制品都打算运往白树镇，在那里他们希望赚到足够的利润，撑过接下来的几个月。

地名“Whitetree”采用了意译加音义兼顾的处理方式，译为“白树镇”。这样既保留了原名的字面意象“white tree”，也通过“镇”补足了中文语境中对地点的自然表达，使其更像一个具体地名而非普通名词。"
Exp3,"While reviewing the old records in the archives, the scholar stumbled upon several references to a treaty signed in Queenscrown. Although the document lacked specific dates, the signatures indicated it was a significant agreement concerning regional borders.",Existing,Transparent,Constructed by Gemini,"在档案中查阅旧记录时，这位学者偶然发现了几处提及一项在奎恩斯克朗签署的条约。尽管文件中缺少具体日期，但签名表明这是一项涉及地区边界的重要协议。

地名“Queenscrown”采用音译处理为“奎恩斯克朗”，以尽量保留原名的专有性和辨识度，同时避免误译其含义；这种做法适用于缺乏明确中文惯用译名的虚构或不常见地名。"
Exp3,Finding a secure place to rest was the primary concern for the weary group. They decided that spending a few quiet days at an inn located in Gulltown would allow everyone to recover their strength and repair their damaged equipment.,Existing,Transparent,Constructed by Gemini,"为这群疲惫不堪的人来说，首要关切是找到一个安全的地方休息。他们决定，在谷地镇的一家客栈里安静地住上几天，能让每个人恢复体力，并修理受损的装备。

地名 “Gulltown” 采用了意译处理，译为“谷地镇”，以保留其作为城镇名称的语义感和中文可读性，同时避免生硬的音译。"
Exp3,"During the annual festival season, many families traveled great distances to visit their distant relatives. A significant number of the villagers packed their belongings and headed toward Riverrun to reunite with loved ones they had not seen for years.",Existing,Transparent,Constructed by Gemini,"在一年一度的节庆时节，许多家庭长途跋涉去探望远方的亲戚。村里有相当一部分人收拾好行装，前往河溪镇，与多年未见的亲人团聚。

地名“Riverrun”采用了意译处理，译为“河溪镇”，以保留其由“river”和“run”构成的自然地理联想，同时让中文读者更容易理解其作为地名的含义与氛围。"
Exp3,"After deciding it was time to find a new place to settle, the families packed up their essential belongings. They gathered their remaining resources and began the quiet migration toward Dragonstone, hoping for better opportunities and a fresh start.",Existing,Transparent,Constructed by Gemini,"在决定是时候寻找一个新的安身之处后，这些家庭收拾起了他们的必需物品。他们聚集起剩余的资源，开始悄然迁往龙石岛，希望在那里获得更好的机会，迎来一个新的开始。

地名“Dragonstone”采用了意译加音义兼顾的方式译为“龙石岛”：其中“Dragon”对应“龙”，“stone”对应“石”，并补上“岛”以符合地名语境和中文习惯，既保留原名意象，也让读者容易理解。"
Exp3,"The courier secured the sealed letters tightly in the waterproof pouch attached to the saddle. The most urgent message was addressed to a contact currently residing in Bitterbridge, requiring the rider to maintain a steady and relentless pace.",Existing,Transparent,Constructed by Gemini,"信使将密封的信件牢牢地装进了系在马鞍上的防水袋里。最紧急的那封信是寄给一位目前住在苦桥的联络人的，因此要求骑手保持稳定而不懈的速度前进。

地名“Bitterbridge”采用了意译，译为“苦桥”，以保留原名的语义色彩和地名感，同时让中文读者更容易理解其字面含义。"
Exp3,"The surveyors carefully adjusted their instruments to record the new measurements along the boundary line. They marked the updated coordinates on the large parchment map, ensuring the exact distance to Sunspear was documented with absolute precision for future reference.",Existing,Transparent,Constructed by Gemini,"测量员们小心地调整仪器，以记录边界线上的新测量数据。他们在那张大羊皮地图上标注了更新后的坐标，确保通往阳戟城的准确距离被以绝对精确的方式记录下来，以供日后查阅。

地名 “Sunspear” 采用了意译处理，译为“阳戟城”，以保留其作为专有地名的辨识度，同时传达英文原名中“sun”和“spear”所带来的意象感与奇幻风格。"
Exp3,"The local militia received orders to expand their regular patrol routes further outward. A small detachment was assigned to monitor the main path leading to Highgarden, checking the passing wagons and travelers to ensure safe passage along the thoroughfare.",Existing,Transparent,Constructed by Gemini,"当地民兵接到命令，将他们常规巡逻路线进一步向外扩展。一支小分队被派去监视通往高庭的主路，检查过往的货车和旅人，以确保这条大道上的通行安全。

地名“Highgarden”采用了意译处理，译为“高庭”，保留了原名的意象与专名感，同时符合中文地名常见的简洁、庄重风格。"
Exp3,"Knowing they could no longer remain safely in the area, the fugitives quietly slipped away under the cover of darkness. Their primary objective was to reach Maidenpool without attracting any unwanted attention or leaving a trail for anyone to follow.",Existing,Transparent,Constructed by Gemini,"知道他们已无法再安全地留在该地区，逃亡者们便在夜色掩护下悄然离去。他们的首要目标是抵达处女滩，同时不引起任何不必要的注意，也不留下可供他人追踪的踪迹。

地名“Maidenpool”采用了音义兼顾的译法，译为“处女滩”：一方面保留了专名的辨识度，另一方面也尽量传达其字面意象，符合中文中对虚构地名常见的处理策略。"
