Experiment,Text,Lexical Status,Transparency,Context,Output
Exp4,"The journey had been long and exhausting, but the travelers finally reached the outskirts of Isplynia just before dusk. They set up camp near the main road, hoping to gather fresh supplies in the morning before continuing their journey eastward.",Coined,Opaque,Constructed by Gemini,"这段旅程漫长而疲惫，但旅行者们终于在黄昏前抵达了伊斯普利尼亚的郊外。他们在主路附近扎营，希望第二天早晨补充新鲜补给后，再继续向东前行。

地名“Isplynia”采用音译处理为“伊斯普利尼亚”，以尽量保留原名的读音和专有名词属性，同时避免意译造成地名含义偏移。"
Exp4,"Local merchants regularly gathered their goods into sturdy wagons to prepare for the seasonal trade route. Most of their handcrafted wares were destined for Tospyte, where they expected to secure enough profit to last through the coming months.",Coined,Opaque,Constructed by Gemini,"当地商人们经常把他们的货物装进结实的货车里，为季节性的贸易路线做准备。他们大部分手工制品都打算运往托斯派特，在那里他们希望赚到足够的利润，撑过接下来的几个月。

地名“Tospyte”采用了音译处理，译为“托斯派特”，以尽量保留原名的读音和专有名词属性，同时避免擅自赋予其含义。"
Exp4,"While reviewing the old records in the archives, the scholar stumbled upon several references to a treaty signed in Rystosia. Although the document lacked specific dates, the signatures indicated it was a significant agreement concerning regional borders.",Coined,Opaque,Constructed by Gemini,"在档案馆查阅旧档案时，这位学者偶然发现了几处提及在里斯托西亚签署的一项条约的记载。尽管文件中没有具体日期，但签名表明这是一项涉及地区边界的重要协议。

地名“Rystosia”采用音译处理为“里斯托西亚”，以尽量保留原名的读音和专有名词特征，同时避免擅自赋予其中文语义。"
Exp4,Finding a secure place to rest was the primary concern for the weary group. They decided that spending a few quiet days at an inn located in Kyremi would allow everyone to recover their strength and repair their damaged equipment.,Coined,Opaque,Constructed by Gemini,"为这支疲惫的队伍寻找一个安全的歇脚之处是首要关切。他们决定，在位于基雷米的一家旅店里安静地住上几天，能让每个人恢复体力，并修理受损的装备。

地名“Kyremi”采用音译为“基雷米”，以保留其专有名词属性和原有读音，同时避免误译为具有特定含义的中文词。"
Exp4,"During the annual festival season, many families traveled great distances to visit their distant relatives. A significant number of the villagers packed their belongings and headed toward Srikyme to reunite with loved ones they had not seen for years.",Coined,Opaque,Constructed by Gemini,"在一年一度的节庆时节，许多家庭长途跋涉去探望远方的亲戚。村里有相当一部分人收拾好行李，前往斯里凯姆，与多年未见的亲人团聚。

地名“Srikyme”采用了音译处理，译为“斯里凯姆”，以尽量保留原名的读音和专有名词属性；这样既避免误译其含义，也便于中文读者识别为一个地名。"
Exp4,"After deciding it was time to find a new place to settle, the families packed up their essential belongings. They gathered their remaining resources and began the quiet migration toward Piakilos, hoping for better opportunities and a fresh start.",Coined,Opaque,Constructed by Gemini,"在决定是时候寻找一个新的安身之处后，这些家庭收拾好了他们的必需物品。他们汇集了剩余的资源，开始悄然迁往皮亚基洛斯，希望在那里获得更好的机会，重新开始。

地名“Piakilos”采用音译为“皮亚基洛斯”，以保留其专有名词属性和原有发音特征，同时避免擅自赋予其中文含义。"
Exp4,"The courier secured the sealed letters tightly in the waterproof pouch attached to the saddle. The most urgent message was addressed to a contact currently residing in Sedorox, requiring the rider to maintain a steady and relentless pace.",Coined,Opaque,Constructed by Gemini,"信使将密封的信件牢牢地装进了系在马鞍上的防水袋里。最紧急的那封信是寄给一位目前居住在塞多罗克斯的联络人的，因此要求骑手保持稳定而不懈的速度前进。

地名“Sedorox”采用了音译处理，译为“塞多罗克斯”，以尽量保留原名的读音和专有名词属性，同时避免擅自赋予其额外含义。"
Exp4,"The surveyors carefully adjusted their instruments to record the new measurements along the boundary line. They marked the updated coordinates on the large parchment map, ensuring the exact distance to Aelritos was documented with absolute precision for future reference.",Coined,Opaque,Constructed by Gemini,"测量员们仔细调整了他们的仪器，以记录边界线上的新测量数据。他们在那张大羊皮地图上标出了更新后的坐标，确保与艾尔里托斯的准确距离被以绝对精确的方式记录下来，以供日后参考。

地名“Aelritos”采用了音译处理，译为“艾尔里托斯”，以尽量保留原名的读音和专有名词属性，同时避免意译造成的含义偏移。"
Exp4,"The local militia received orders to expand their regular patrol routes further outward. A small detachment was assigned to monitor the main path leading to Zaloko, checking the passing wagons and travelers to ensure safe passage along the thoroughfare.",Coined,Opaque,Constructed by Gemini,"当地民兵接到命令，将他们常规巡逻路线进一步向外扩展。一支小分队被派去监视通往扎洛科的主要道路，检查过往的货车和旅人，以确保这条大道上的通行安全。

地名“Zaloko”采用音译为“扎洛科”，因为它看起来是专有地名，通常应保留原有读音特征，避免意译造成信息丢失。"
Exp4,"Knowing they could no longer remain safely in the area, the fugitives quietly slipped away under the cover of darkness. Their primary objective was to reach Kureavas without attracting any unwanted attention or leaving a trail for anyone to follow.",Coined,Opaque,Constructed by Gemini,"意识到他们已无法再安全地留在该地区，逃亡者们便在夜色掩护下悄然离去。他们的首要目标是抵达库雷瓦斯，同时不引起任何不必要的注意，也不留下可供他人追踪的踪迹。

地名“Kureavas”采用音译为“库雷瓦斯”，以尽量保留原名的读音和专有名词属性；同时不额外添加意译成分，避免改变其作为地点名称的中性指代。"
