Experiment,Toponym,Lexical Status,Transparency,Context,Output,Text
Exp0,Winterfell,Existing,Transparent,Zero,"冬堡

Rationale: I translated “Winter” as “冬” to preserve the seasonal meaning, and “fell” as “堡” to evoke a fortified stronghold or castle-like place. The strategy was to create a concise, natural-sounding Chinese toponym that keeps the original sense and atmosphere rather than transliterating the name.",
Exp0,Whitetree,Existing,Transparent,Zero,"白树

我将其直译为“白树”，保留了原名的字面构成与地名感，采用常见、自然的汉语表达方式。",
Exp0,Queenscrown,Existing,Transparent,Zero,"女王冠

Rationale: I translated “Queen” as “女王” and “crown” as “冠,” preserving the original compound meaning while keeping it concise and place-name-like in Chinese.",
Exp0,Gulltown,Existing,Transparent,Zero,"海鸥镇

我将 “Gull” 译为“海鸥”，保留其鸟类意象；“town” 译为“镇”，以自然、常见的中文地名后缀来呈现这是一个城镇型地名。",
Exp0,Riverrun,Existing,Transparent,Zero,"溪流城

Rationale: I translated “River” as “溪流” to preserve the sense of a flowing waterway, and “run” as “城” to make it read naturally as a place name in Chinese. The result aims to sound like a plausible toponym rather than a literal word-for-word rendering.",
Exp0,Dragonstone,Existing,Transparent,Zero,"龙石岛

Rationale: I translated “Dragon” as “龙” and “stone” as “石,” then added “岛” to reflect a place-name feel in Chinese and make it sound like a geographic toponym rather than a literal object.",
Exp0,Bitterbridge,Existing,Transparent,Zero,"苦桥

Rationale: I translated “Bitter” as “苦” to preserve the harsh, unpleasant connotation, and “bridge” as “桥” for a direct, natural Chinese rendering. The strategy is a straightforward semantic translation that keeps the place name clear and evocative.",
Exp0,Sunspear,Existing,Transparent,Zero,"日矛城

Rationale: I translated “Sun” as “日” and “spear” as “矛,” then added “城” to make it read naturally as a place name in Chinese. This keeps the original imagery while giving it a toponymic feel.",
Exp0,Highgarden,Existing,Transparent,Zero,"高庭

我将其译为“高庭”，采用直译加意象保留的策略：  
- “High”对应“高”，保留地名中的高度、尊贵感。  
- “garden”在此更像是庄园、园地或城堡式园林意象，译作“庭”能兼顾“庭院/府邸/园庭”的古典地名风格。  
整体上简洁、庄重，也符合中文地名常见的两字结构。",
Exp0,Maidenpool,Existing,Transparent,Zero,"处女池

Rationale: I translated “Maiden” as “处女,” which preserves the literal sense of an unmarried young woman, and “pool” as “池,” a natural Chinese equivalent for a pool or small body of water. This keeps the name concise, readable, and faithful to the original imagery.",
Exp0,Pentos,Existing,Opaque,Zero,"潘托斯

我采用了音译策略，将 “Pentos” 按其英文读音近似转写为“潘托斯”。这样既保留了专名的异域感，也符合中文对虚构地名常见的音译习惯。",
Exp0,Braavos,Existing,Opaque,Zero,"布拉沃斯

我采用了音译策略，将 “Braavos” 的发音尽量转写为中文，同时保持其作为专有地名的异域感与辨识度。",
Exp0,Astapor,Existing,Opaque,Zero,"阿斯塔波

译法说明：采用音译为主，尽量保留原名的读音与异域感；“Astapor”可拆作近似音节“阿-斯-塔-波”，用常见汉字组合成自然的中文专名。",
Exp0,Myr,Existing,Opaque,Zero,"米尔

Rationale: I transliterated “Myr” into Chinese using a close phonetic rendering. “米尔” preserves the approximate pronunciation while using common, natural Chinese characters for a place name.",
Exp0,Qarth,Existing,Opaque,Zero,"卡斯

Rationale: I chose a phonetic transliteration that preserves the short, sharp sound of “Qarth” while fitting natural Chinese syllable patterns. “卡斯” is concise, easy to read, and works well as a place name without adding extra meaning.",
Exp0,Asshai,Existing,Opaque,Zero,"阿夏伊

Rationale: I transliterated the name to preserve its foreign, fictional feel while keeping it natural in Chinese. “阿” helps create a smooth phonetic start, and “夏伊” approximates the original sound of “-shai” without forcing an existing meaning onto the toponym.",
Exp0,Norvos,Existing,Opaque,Zero,"诺沃斯

我采用了音译策略，将 “Norvos” 按其英文发音近似转写为“诺沃斯”。这样既保留了原名的异域感，也符合中文地名常见的音译习惯。",
Exp0,Yunkai,Existing,Opaque,Zero,"云开

Rationale: I rendered “Yunkai” phonetically and semantically as “云开,” which preserves the sound of “Yun” while giving “kai” a natural Chinese character with a positive, place-name-like meaning (“clouds part/open”). This makes it feel like a plausible Chinese toponym rather than a direct transliteration.",
Exp0,Meereen,Existing,Opaque,Zero,"弥林

Rationale: I chose a transliteration-based rendering to preserve the proper-name feel of “Meereen” while making it natural in Chinese. “弥” and “林” together give a smooth, compact sound approximation and a place-name-like appearance.",
Exp0,Volantis,Existing,Opaque,Zero,"沃兰提斯

我采用了音译为主的策略：将 “Volantis” 按其英文读音拆分并转写为中文近似音节，尽量保留原名的异域感与专名属性，同时避免赋予额外含义。",
Exp0,Boararch,Coined,Transparent,Zero,"野猪桥

Rationale: I translated “Boar” as “野猪” to preserve the animal imagery, and “arch” as “桥” because it can suggest an arched structure or bridge-like form in a place name. I chose a natural-sounding Chinese toponym that keeps the original components recognizable.",
Exp0,Monkeybeak,Coined,Transparent,Zero,"猴嘴

Rationale: I translated “Monkey” as “猴” and “beak” as “嘴,” using a direct, natural Chinese rendering that preserves the image of a monkey-like beak-shaped place name.",
Exp0,Moonsunk,Coined,Transparent,Zero,"月沉

Rationale: I translated “Moon” as “月” and “sunk” as “沉,” preserving the original imagery and compact, place-name-like feel. This keeps the toponym evocative and natural in Chinese while staying close to the source meaning.",
Exp0,Floodmist,Coined,Transparent,Zero,"洪雾

I translated “Floodmist” by combining the meanings of “flood” and “mist” into a concise, natural-sounding Chinese place-name style. “洪” conveys flooding or great waters, and “雾” means mist or fog.",
Exp0,Starroll,Coined,Transparent,Zero,"星罗尔

Rationale: I transliterated “Starroll” into Chinese by preserving its sound while using “星” to echo the “star” element in the name. “罗尔” approximates the remaining pronunciation and keeps it natural as a place name.",
Exp0,Winefleet,Coined,Transparent,Zero,"葡萄舰队

Rationale: I translated “Wine” as “葡萄” to evoke the grape/wine association, and “fleet” as “舰队” to preserve the sound and sense of a collective maritime term. This is a direct semantic rendering of the toponym, aiming for a clear, place-name-like Chinese form.",
Exp0,Conquerbay,Coined,Transparent,Zero,"征服湾

Rationale: I translated “Conquer” as “征服,” which conveys the sense of conquest or subduing, and “bay” as “湾,” the standard Chinese term for a bay. I kept the structure direct and natural for a place name.",
Exp0,Ciderport,Coined,Transparent,Zero,"苹果酒港

Rationale: I translated “Cider” as “苹果酒,” which is the direct Chinese term for cider, and “port” as “港,” a common Chinese place-name element meaning harbor or port. This keeps the toponym clear, natural, and semantically faithful.",
Exp0,Mirrorhang,Coined,Transparent,Zero,"镜悬

Rationale: I translated “Mirror” as “镜” to preserve the image of a reflective surface, and “hang” as “悬” to convey the sense of something hanging or suspended. Together, “镜悬” keeps the original toponym’s compact, evocative feel while sounding natural in Chinese.",
Exp0,Swordthorn,Coined,Transparent,Zero,"剑棘

Rationale: I translated “Sword” as “剑” and “thorn” as “棘,” choosing a concise, evocative compound that preserves the sharp, dangerous imagery of the original toponym while sounding natural as a place name in Chinese.",
Exp0,Isplynia,Coined,Opaque,Zero,"伊斯普利尼亚

我采用了音译策略，将 “Isplynia” 按其读音拆分并用接近的汉字对应，尽量保留原名的发音特征，同时使其符合中文地名的常见译写方式。",
Exp0,Tospyte,Coined,Opaque,Zero,"托斯皮特

Rationale: I transliterated the toponym phonetically into Chinese characters that closely approximate the sound of “Tospyte,” while keeping the form natural as a place name.",
Exp0,Rystosia,Coined,Opaque,Zero,"里斯托西亚

Rationale: I transliterated the name phonetically into Chinese characters that approximate the original pronunciation while keeping it natural as a place name. “里斯托西亚” preserves the syllable structure of “Rystosia” and uses common, readable characters suitable for a toponym.",
Exp0,Kyremi,Coined,Opaque,Zero,"基雷米

我采用了音译策略，将 “Kyremi” 按其大致发音转写为中文“基雷米”。这样既保留了原名的音感，也符合中文地名常见的音译习惯。",
Exp0,Srikyme,Coined,Opaque,Zero,"斯里凯姆

我采用了音译为主的策略：将 “Sri-” 处理为“斯里”，保留其开头音节的自然汉语近似；将 “-kyme” 处理为“凯姆”，兼顾读音接近与中文地名常见的音节结构。整体上尽量保持原名的发音特征，同时使译名符合中文地名的书写习惯。",
Exp0,Piakilos,Coined,Opaque,Zero,"皮亚基洛斯

我采用了音译策略，将 “Piakilos” 按其大致发音拆分为“皮亚-基-洛斯”，用中文中较自然的音节对应来保留原名的读音特征，同时避免赋予额外含义。",
Exp0,Sedorox,Coined,Opaque,Zero,"塞多罗克

Rationale: I transliterated “Sedorox” into Chinese characters that closely match its pronunciation while keeping a natural toponym-like form. “塞多罗克” preserves the syllabic flow and gives the name a place-name feel in Chinese.",
Exp0,Aelritos,Coined,Opaque,Zero,"埃尔里托斯

Rationale: I rendered “Aelritos” phonetically into Chinese characters that approximate the original sound while keeping a natural toponym-like form. “埃尔里托斯” preserves the initial “Ae-” as “埃尔,” and the remaining syllables are matched with common transliteration characters to maintain readability and a place-name feel.",
Exp0,Zaloko,Coined,Opaque,Zero,"扎洛科

我采用了音译策略，将 “Zaloko” 按其发音近似转写为中文地名形式“扎洛科”。这种处理保留了原名的音感与专名特征，同时符合中文地名常见的音译习惯。",
Exp0,Kureavas,Coined,Opaque,Zero,"库雷阿瓦斯

Rationale: I transliterated the toponym phonetically into Chinese characters that closely approximate the original sounds: “Ku-re-a-vas” → “库雷阿瓦斯”. This keeps it recognizable as a place name while using common, natural-sounding Chinese syllables.",
Exp1,,Existing,Transparent,Original,"他在他们离开临冬城时带上了自己最暖和的衣物，却很快发现那根本远远不够暖和。

地名“Winterfell”采用了音义兼顾的译法，译为“临冬城”：既保留了原名作为专有地名的识别性，又用“冬”传达其寒冷、北境的语义联想，并以“城”体现其作为城堡/据点的性质。","He had brought his warmest clothing with him when they rode out of Winterfell, and soon discovered that it was nowhere near warm enough."
Exp1,,Existing,Transparent,Original,"在临冬城，他总会在自己的餐桌旁多摆一把椅子，而且每天都会请一位不同的人来与他同桌。

地名“Winterfell”采用了音义兼顾的译法，译为“临冬城”：既保留了专名的独特性，又通过“临冬”传达出其寒冷、北境的氛围；“城”则点明这是一个地名中的城堡/据点。","At Winterfell, he always had an extra seat set at his own table, and every day a different man would be asked to join him."
Exp1,,Existing,Transparent,Original,"一切都不是他所预料的；白树是他们经过的第四个村子，而在之前的每一个村子里，情况也都是一样。

地名“Whitetree”采用了直译加意译的方式，译为“白树”，保留其字面意象和专有名词感，同时便于中文读者理解和接受。","Nothing was what he had expected; Whitetree was the fourth village they had passed, and it had been the same in all of them."
Exp1,,Existing,Transparent,Original,"一棵巨大的鱼梁木长在这里的中央……但有一棵白树，并不一定就意味着这里是白树村。

译名处理思路：我将 “weirwood” 译为“鱼梁木”，保留其作为特定奇幻树种的专名感；“Whitetree” 则译为“白树村”，把它处理为地名而非普通名词，以体现原文中“白树”与地名“Whitetree”之间的双关关系。这样既保留了字面含义，也尽量传达“白树不一定就是白树村”的语义转折。","A huge weirwood grew in the center of this one … but a white tree did not mean Whitetree, necessarily."
Exp1,,Existing,Transparent,Original,"冰原狼的呼吸在林间空气中凝成了霜，他一瘸一拐地跟在他们后面，后腿仍因在女王冠城时挨的那一箭而受伤。

地名“Queenscrown”采用了意译处理，译为“女王冠城”，保留其由“queen”和“crown”构成的意象，同时让中文读者更容易理解其作为地名的感觉，而不强行音译。","The direwolf’s breath frosted the forest air as he padded after them, still limping on the hind leg that had taken the arrow back at Queenscrown."
Exp1,,Existing,Transparent,Original,"那位温柔的巨人一感觉到他，就会呜咽起来，把那颗毛茸茸的脑袋左右甩动，但没有第一次在奎恩斯克朗时那么猛烈。  

地名“Queenscrown”采用了音译加意译的思路，译为“奎恩斯克朗”，尽量保留原名的专有性和读音特征，同时让中文读者能把它识别为一个地名，而不是普通名词。","The gentle giant would whimper when he felt him, and thrash his shaggy head from side to side, but not as violently as he had the first time, back at Queenscrown."
Exp1,,Existing,Transparent,Original,"她听说谷地镇有些很好的女裁缝，而她又实在厌倦了穿得那样朴素。

地名“Gulltown”我译作“谷地镇”，采用了意译加地名后缀的方式：保留其作为城镇名称的功能，同时让中文读者能自然理解这是一个地名，而不必直译出英文中的字面意象。","She had heard there were fine seamstresses in Gulltown, and she was so tired of dressing drably."
Exp1,,Existing,Transparent,Original,"给我两周时间来处理我的事务，并安排一艘船把我送到海鸥镇。

地名“Gulltown”采用了意译加音义兼顾的处理方式：其中“gull”对应“海鸥”，“town”对应“镇”，这样既保留了原名的语义，也符合中文地名的自然表达习惯。",Give me a fortnight to conclude my affairs and arrange for a ship to carry me to Gulltown.
Exp1,,Existing,Transparent,Original,"他看上去不知怎的更瘦小了，也更脆弱了，像是她十五年前在奔流城的七神圣堂里嫁给的那个年轻人。  

地名“Riverrun”译作“奔流城”，采用了意译加音译感的处理：保留其作为城名的专有属性，同时用“奔流”传达原名中“river/run”所带来的河流奔涌之意，符合中文奇幻语境中的地名习惯。","He looked somehow smaller and more vulnerable, like the youth she had wed in the sept at Riverrun, fifteen long years gone."
Exp1,,Existing,Transparent,Original,"她在奔流城时所认识的那个羞怯女孩，如今已长成一个女人，时而骄傲，时而胆怯，时而残忍，时而多梦，时而鲁莽，时而怯懦，时而固执，时而虚荣，而最重要的是，反复无常。

地名“Riverrun”采用意译为“奔流城”，既保留了原名中“river”与“run”所传达的河流奔涌之意，又符合中文奇幻语境中对城堡/领地名称的习惯表达，读起来自然且有画面感。","The shy girl she had known at Riverrun had grown into a woman who was by turns proud, fearful, cruel, dreamy, reckless, timid, stubborn, vain, and, above all, inconstant."
Exp1,,Existing,Transparent,Original,"她是在他们逃离后的九个月后，伴随着一场肆虐的夏季风暴、仿佛要将那座坚固的岛上堡垒撕裂开来之际，出生于龙石岛的。  

地名“Dragonstone”采用了意译加音译感较强的固定译法“龙石岛”，既保留了原名的意象，又符合中文读者对地名的自然理解；“fastness”则译为“坚固的岛上堡垒”，以传达其“险要、难攻”的含义。","She had been born on Dragonstone nine moons after their flight, while a raging summer storm threatened to rip the island fastness apart."
