Experiment,Text,Lexical Status,Transparency,Context,Output
Exp3,"After several days of travel, the group arrived at Pentos and spent the evening looking for a place to rest before continuing their journey the next morning.",Existing,Opaque,Constructed by ChatGPT,"经过数日跋涉，这一行人抵达了潘托斯，并在继续第二天的旅程之前，花了整个夜晚寻找歇脚的地方。

地名“Pentos”采用音译为“潘托斯”，因为它是专有地名，通常以保留原有读音为主，便于识别和保持作品中的设定一致性。"
Exp3,The traveller visited Braavos to gather information from local sources and record observations about the area during a short stay there.,Existing,Opaque,Constructed by ChatGPT,"这位旅行者前往布拉佛斯，从当地来源收集信息，并在短暂停留期间记录了对该地区的观察。

地名“Braavos”采用音译为“布拉佛斯”，以保留专有名词的识别性和原有指称；同时不额外意译，避免改变其作为虚构地名或专名的性质。"
Exp3,Merchants passed through Astapor while carrying goods and stopped briefly to exchange supplies before moving on toward their next destination.,Existing,Opaque,Constructed by ChatGPT,"商人们经过渊凯时携带着货物，并短暂停留交换补给，然后继续前往下一个目的地。

地名“Astapor”我译作“渊凯”，采用音译并兼顾中文读者的可读性与奇幻语境中的专名习惯；这样既保留专有名词属性，也便于在中文中自然呈现。"
Exp3,The researchers travelled to Myr to examine available materials and spent several days reviewing notes collected during their field work.,Existing,Opaque,Constructed by ChatGPT,"研究人员前往米尔考察可用材料，并花了几天时间审阅他们在实地工作中收集的笔记。

地名“Myr”采用音译为“米尔”，因为这是一个专有地名，通常优先保留其原有读音，以便在中文中保持识别性和一致性。"
Exp3,Visitors arrived at Qarth during their journey and explored the surroundings without making any long-term plans beyond their temporary visit.,Existing,Opaque,Constructed by ChatGPT,"游客在旅途中抵达了夸特，并在短暂停留期间游览了周边地区，没有为长期逗留做任何计划。  
地名“Qarth”采用音译为“夸特”，以保留专有名词的独特性和异域感，同时避免意译造成含义偏移。"
Exp3,A group of travellers stayed near Asshai for a while as they prepared for the next stage of their route.,Existing,Opaque,Constructed by ChatGPT,"一群旅人曾在亚夏附近停留了一段时间，为下一段行程做准备。

地名“Asshai”采用音译为“亚夏”，以保留专有名词的独特性和异域感，同时符合中文读者的发音习惯。"
Exp3,The mapmaker marked Norvos on a record after receiving details from travellers who had recently passed through the area there.,Existing,Opaque,Constructed by ChatGPT,"制图师在收到最近经过该地区的旅行者提供的细节后，便在一份记录上标出了诺沃斯。

地名“Norvos”采用音译为“诺沃斯”，以保留专有名词的识别性和原有地名色彩，同时符合中文读音习惯。"
Exp3,The visitor reached Yunkai after a long journey and spent time observing daily activities before deciding when to leave again.,Existing,Opaque,Constructed by ChatGPT,"访客经过长途跋涉抵达渊凯，在决定何时再次启程之前，花了一段时间观察日常活动。

地名“Yunkai”译为“渊凯”，采用音译为主的方式，以尽量保留专有地名的原有读音和识别度，同时使其符合中文书写习惯。"
Exp3,"People often stopped at Meereen during their travels, using the location as a place to pause, meet others, and continue their plans afterward.",Existing,Opaque,Constructed by ChatGPT,"人们在旅行途中常常会在弥林停留，把这里当作一个歇脚、会见他人并在之后继续行程的地方。

地名“Meereen”采用音译为“弥林”，以保留专有名词的识别性和原作中的异域感，同时符合中文读者对该地名的常见音译习惯。"
Exp3,The writer included Volantis in a report after collecting descriptions from various travellers who had visited the location during their journeys.,Existing,Opaque,Constructed by ChatGPT,"作者在收集了多位旅途中曾到访该地的旅行者的描述后，将瓦兰提斯写入了一份报告中。

地名“Volantis”采用了音译“瓦兰提斯”，以保留专有名词的识别性和异域感，同时避免误译为普通词汇；在中文语境中，这种处理也更符合虚构地名或专名的常见译法。"
